title,description,course_url,topics,available_videos,id
Materials Laboratory,"<p>This course is a required sophomore subject in the Department of Materials Science and Engineering, designed to be taken in conjunction with the core lecture subject <a href=""courses/3-012-fundamentals-of-materials-science-fall-2005"">3.012</a> Fundamentals of Materials Science and Engineering. The laboratory subject combines experiments illustrating the principles of quantum mechanics, thermodynamics and structure with intensive oral and written technical communication practice. Specific topics include: experimental exploration of the connections between energetics, bonding and structure of materials, and application of these principles in instruments for materials characterization; demonstration of the wave-like nature of electrons; hands-on experience with techniques to quantify energy (DSC), bonding (XPS, AES, FTIR, UV/Vis and force spectroscopy), and degree of order (x-ray scattering) in condensed matter; and investigation of structural transitions and structure-property relationships through practical materials examples.</p>
<p>Professor Anne Mayes led the development and teaching of this course in prior years.</p>
",https://ocw.mit.edu/courses/3-014-materials-laboratory-fall-2006/,"['Engineering', 'Materials Science and Engineering', 'Science', 'Physics', 'Quantum Mechanics', 'Thermodynamics']",0,11
Introduction to Modeling and Simulation,"This subject provides an introduction to modeling and simulation, covering continuum methods, atomistic and molecular simulation, and quantum mechanics. Hands-on training is provided in the fundamentals and applications of these methods to key engineering problems. The lectures provide exposure to areas of application based on the scientific exploitation of the power of computation. We use web based applets for simulations, thus extensive programming skills are not required.",https://ocw.mit.edu/courses/3-021j-introduction-to-modeling-and-simulation-spring-2012/,"['Engineering', 'Materials Science and Engineering', 'Systems Engineering', 'Computational Modeling and Simulation', 'Science', 'Physics', 'Classical Mechanics', 'Quantum Mechanics']",0,12
"Cellular Solids: Structure, Properties and Applications","This course reviews the processing and structure of cellular materials as they are created from polymers, metals, ceramics, glasses, and composites, develops models for the mechanical behavior of cellular solids, and shows how the unique properties of honeycombs and foams are exploited in applications such as lightweight structural panels, energy absorption devices and thermal insulation. The applications of cellular solids in medicine include increased fracture risk due to trabecular bone loss in patients with osteoporosis, the development of metal foam coatings for orthopaedic implants, and designing porous scaffolds for tissue engineering that mimic the extracellular matrix. Modelling of cellular materials applied to natural materials and biomimicking is explored. Students taking the graduate version of the class are required to complete additional assignments.",https://ocw.mit.edu/courses/3-054-cellular-solids-structure-properties-and-applications-spring-2015/,"['Engineering', 'Biological Engineering', 'Cell and Tissue Engineering', 'Materials Science and Engineering', 'Mechanical Engineering']",20,13
Introduction to Solid State Chemistry,"<p>In this course, we will explore what makes things in the world the way they are and why, to understand the science and consider the engineering. We learn not only why the physical world behaves the way it does, but also how to think with chemical intuition, which can’t be gained simply by observing the macroscopic world.</p>
<p>This 2018 version of 3.091 by Jeffrey Grossman and the 2010 OCW version by Don Sadoway cover similar topics and both provide complete learning materials. This 2018 version also includes Jeffrey Grossman’s innovative Goodie Bags, Why This Matters, and CHEMATLAS content, as well as additional practice problems, quizzes, and exams.</p>
",https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/,"['Engineering', 'Chemical Engineering', 'Materials Science and Engineering', 'Science', 'Chemistry']",38,14
Introduction to Solid State Chemistry,"<p><em>Introduction to Solid State Chemistry</em> is a first-year single-semester college course on the principles of chemistry. This unique and popular course satisfies MIT’s general chemistry degree requirement, with an emphasis on solid-state materials and their application to engineering systems.</p>
<p>Course Format</p>
<p><img src=""/images/button_start.png"" alt=""Click to get started."">This course has been designed for independent study. It provides everything you will need to understand the concepts covered in the course. The materials include:</p>
<ul>
<li>A complete set of <strong>Lecture Videos</strong> by Prof. Sadoway.</li>
<li>Detailed <strong>Course Notes</strong> for most video sessions, plus readings in several suggested textbooks.</li>
<li><strong>Homework</strong> problems with solution keys, to further develop your understanding.</li>
<li><strong>For Further Study</strong> collections of links to supplemental online content.</li>
<li><strong>Self-Assessment</strong> pages containing quiz and exam problems to assess your mastery, and <strong>Help Session Videos</strong> in which teaching assistants take you step-by-step through exam problem solutions.</li>
</ul>
<p>About OCW Scholar</p>
<p>OCW Scholar courses are designed specifically for OCW’s single largest audience: independent learners. These courses are substantially more complete than typical OCW courses, and include new custom-created content as well as materials repurposed from previously published courses. <a href=""/courses/ocw-scholar/"">Learn more about OCW Scholar</a>.</p>
",https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,"['Engineering', 'Chemical Engineering', 'Materials Science and Engineering', 'Science', 'Chemistry']",0,15
"Electrical, Optical, and Magnetic Materials and Devices","<p>This course is a three-part series which explains the basis of the electrical, optical, and magnetic properties of materials including semiconductors, metals, organics, and insulators. We will show how devices are built to take advantage of these properties. This is illustrated with a wide range of devices, placing a strong emphasis on new and emerging technologies.</p>
<p>The first part of the course covers electronic materials and devices, including diodes, bipolar junction transistors, MOSFETs, and semiconductor properties. The second part covers optical materials and devices, including photodetectors, solar cells (photovoltaics), displays, light emitting diodes, lasers, optical fibers, optical communications, and photonic devices. The final part of the series covers magnetic materials and devices, including magnetic data storage, motors, transformers, and spintronics.</p>
<p>This course was organized as a three-part series on <a href=""https://www.edx.org/school/mitx"" target=""_blank"" rel=""noopener"">MITx</a>&nbsp;by MIT’s Department of Materials Science and Engineering and&nbsp;is now archived on the <a href=""https://openlearning.mit.edu/"" target=""_blank"" rel=""noopener"">Open Learning Library</a>, which is free to use. You have the option to sign up and enroll in each modules if you want to track your progress, or you can view and use all the materials without enrolling.</p>
",https://ocw.mit.edu/courses/3-15x-electrical-optical-and-magnetic-materials-and-devices-spring-2020/,"['Engineering', 'Electrical Engineering', 'Electronics', 'Materials Science and Engineering', 'Electronic Materials', 'Science', 'Physics', 'Electromagnetism']",0,16
Atomistic Computer Modeling of Materials (SMA 5107),"<p>This course uses the theory and application of atomistic computer simulations to model, understand, and predict the properties of real materials. Specific topics include: energy models from classical potentials to first-principles approaches; density functional theory and the total-energy pseudopotential method; errors and accuracy of quantitative predictions: thermodynamic ensembles, Monte Carlo sampling and molecular dynamics simulations; free energy and phase transitions; fluctuations and transport properties; and coarse-graining approaches and mesoscale models. The course employs case studies from industrial applications of advanced materials to nanotechnology. Several laboratories will give students direct experience with simulations of classical force fields, electronic-structure approaches, molecular dynamics, and Monte Carlo.</p>
<p>This course was also taught as part of the <a href=""http://web.mit.edu/sma/"" target=""_blank"" rel=""noopener"">Singapore-MIT Alliance</a> (SMA) programme as course number SMA 5107 (Atomistic Computer Modeling of Materials).</p>
<h2 id=""acknowledgements"">Acknowledgements</h2>
<p>Support for this course has come from the <a href=""http://www.nsf.gov/div/index.jsp?div=DMR"" target=""_blank"" rel=""noopener"">National Science Foundation’s Division of Materials Research</a> (grant DMR-0304019) and from the <a href=""http://web.mit.edu/sma/"" target=""_blank"" rel=""noopener"">Singapore-MIT Alliance</a>.</p>
",https://ocw.mit.edu/courses/3-320-atomistic-computer-modeling-of-materials-sma-5107-spring-2005/,"['Engineering', 'Materials Science and Engineering', 'Nanotechnology', 'Systems Engineering', 'Computational Modeling and Simulation', 'Science', 'Physics', 'Atomic, Molecular, Optical Physics', 'Quantum Mechanics']",19,17
"Symmetry, Structure, and Tensor Properties of Materials","This course covers the derivation of symmetry theory; lattices, point groups, space groups, and their properties; use of symmetry in tensor representation of crystal properties, including anisotropy and representation surfaces; and applications to piezoelectricity and elasticity.",https://ocw.mit.edu/courses/3-60-symmetry-structure-and-tensor-properties-of-materials-fall-2005/,"['Engineering', 'Materials Science and Engineering', 'Mechanical Engineering', 'Solid Mechanics']",43,18
Architecture Studio: Building in Landscapes,"4.125 is the third undergraduate design studio. This subject introduces skills needed to build within a landscape establishing continuities between the built and natural world. Students learn to build appropriately through analysis of landscape and climate for a chosen site, and to conceptualize design decisions through drawings and models.",https://ocw.mit.edu/courses/4-125-architecture-studio-building-in-landscapes-fall-2002/,"['Fine Arts', 'Architecture', 'Architectural Design', 'Environmental Design']",0,19
Theory of City Form,"This course covers theories about the form that settlements should take and attempts a distinction between descriptive and normative theory by examining examples of various theories of city form over time. Case studies will highlight the origins of the modern city and theories about its emerging form, including the transformation of the nineteenth-century city and its organization. Through examples and historical context, current issues of city form in relation to city-making, social structure, and physical design will also be discussed and analyzed.",https://ocw.mit.edu/courses/4-241j-theory-of-city-form-spring-2013/,"['Fine Arts', 'Architecture', 'Architectural Design', 'Social Science', 'Sociology', 'Community Development', 'Urban Studies']",26,20
Introduction to the Visual Arts,"This class will introduce students to a variety of contemporary art practices and ideas. The class will begin with a brief overview of ‘visual language’ by looking at a variety of artworks and discussing basic concepts revolving around artistic practice. The rest of the class will focus on notions of the real/unreal as explored with various mediums and practices. The class will work in video, sculpture and in public space.",https://ocw.mit.edu/courses/4-301-introduction-to-the-visual-arts-spring-2007/,"['Fine Arts', 'Visual Arts']",0,21
"The Production of Space: Art, Architecture and Urbanism in Dialogue","This seminar engages in the notion of space from various points of departure. The goal is first of all to engage in the term and secondly to examine possibilities of art, architecture within urban settings in order to produce what is your interpretation of space.",https://ocw.mit.edu/courses/4-303-the-production-of-space-art-architecture-and-urbanism-in-dialogue-fall-2006/,"['Fine Arts', 'Architecture', 'Environmental Design', 'Visual Arts', 'Social Science', 'Urban Studies']",0,22
Studio Seminar in Public Art,"How do we define Public Art? This course focuses on the production of projects for public places. Public Art is a concept that is in constant discussion and revision, as much as the evolution and transformation of public spaces and cities are. Monuments are repositories of memory and historical presences with the expectation of being permanent. Public interventions are created not to impose and be temporary, but as forms intended to activate discourse and discussion. Considering the concept of a museum as a public device and how they are searching for new ways of avoiding generic identities, we will deal with the concept of the personal imaginary museum. It should be considered as a point of departure to propose a personal individual construction based on the concept of defining a personal imaginary museum - concept, program, collection, events, architecture, public diffusion, etc.",https://ocw.mit.edu/courses/4-367-studio-seminar-in-public-art-spring-2006/,"['Fine Arts', 'Architecture', 'Architectural Design', 'Art History', 'Visual Arts']",0,23
Interrogative Design Workshop,"“Parrhesia” was an Athenian right to frank and open speaking, the right that, like the First Amendment, demands a “fearless speaker” who must challenge political powers with criticism and unsolicited advice. Can designer and artist respond today to such a democratic call and demand? Is it possible to do so despite the (increasing) restrictions imposed on our liberties today? Can the designer or public artist operate as a proactive “parrhesiatic” agent and contribute to the protection, development and dissemination of “fearless speaking” in Public Space?",https://ocw.mit.edu/courses/4-370-interrogative-design-workshop-fall-2005/,"['Fine Arts', 'Art History', 'Media Studies', 'Visual Arts']",0,24
Biological Chemistry I,"<p>This course examines the chemical and physical properties of the cell and its building blocks, with special emphasis on the structures of proteins and principles of catalysis, as well as the chemistry of organic / inorganic cofactors required for chemical transformations within the cell. Topics encompass the basic principles of metabolism and regulation in pathways, including glycolysis, gluconeogenesis, fatty acid synthesis / degradation, pentose phosphate pathway, Krebs cycle and oxidative phosphorylation.</p>
<p><a href=""pages/syllabus""><img src=""/images/button_start.png"" alt=""Click to get started.""></a></p>
<h5 id=""course-format"">Course Format</h5>
<p>This OCW Scholar course, designed for independent study, is closely modeled on the course taught on the MIT campus. The on-campus course has two types of class sessions: Lectures and recitations. The lectures meet three times each week and recitations meet once a week. In recitations, an instructor or Teaching Assistant elaborates on concepts presented in lecture, working through new examples with student participation, and answers questions.</p>
<p>MIT students who take the corresponding residential class typically report an average of 10–15 hours spent each week, including lectures, recitations, readings, homework, and exams. All students are encouraged to supplement the textbooks and readings with their own research.<br>
The Scholar course has three major learning units, called Modules. Each module has been divided into a sequence of lecture sessions that include:</p>
<ul>
<li>Textbook Readings</li>
<li>Lecture Notes or Storyboards</li>
<li>A video by Professor JoAnne Stubbe or Professor John Essigmann</li>
<li>Problem Sets and solutions</li>
</ul>
<p>To help guide your learning, each of these problem sets are accompanied by Problem Solving Videos where Dr. Bogdan Fedeles solves one of the problems from the set.</p>
",https://ocw.mit.edu/courses/5-07sc-biological-chemistry-i-fall-2013/,"['Science', 'Biology', 'Biochemistry']",0,25
Biological Chemistry II,"This course is an advanced treatment of biochemical mechanisms that underlie biological processes. Topics include macromolecular machines such as the ribosome, the proteasome, fatty acid synthases as a paradigm for polyketide synthases and non-ribosomal polypeptide synthases, and polymerases. Emphasis will be given to the experimental methods used to unravel how these processes fit into the cellular context as well as the coordinated regulation of these processes.",https://ocw.mit.edu/courses/5-08j-biological-chemistry-ii-spring-2016/,"['Science', 'Biology', 'Biochemistry', 'Structural Biology', 'Chemistry']",0,26
Principles of Chemical Science,"<p>This course provides an introduction to the chemistry of biological, inorganic, and organic molecules.&nbsp;The&nbsp;emphasis is&nbsp;on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis.</p>
<p>In an effort to illuminate connections between chemistry and biology, a list of the biology-, medicine-, and MIT research-related examples used in 5.111 is provided in <a href=""/courses/5-111-principles-of-chemical-science-fall-2008/pages/biology-related-examples"">Biology-Related Examples</a>.</p>
<h5 id=""acknowledgements"">Acknowledgements</h5>
<p>Development and implementation of the biology-related materials in this course were funded through an HHMI Professors grant to Prof. Catherine L. Drennan. Videos and captioning were made possible and supported by the MIT Class of 2009.</p>
",https://ocw.mit.edu/courses/5-111-principles-of-chemical-science-fall-2008/,"['Science', 'Chemistry']",36,27
Principles of Chemical Science,"<p>This course provides an introduction to the chemistry of biological, inorganic, and organic molecules. The emphasis is on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis. One year of high school chemistry is the expected background for this freshman-level course.</p>
<p>The aims include developing a unified and intuitive view of how electronic structure controls the three-dimensional shape of molecules, the physical and chemical properties of molecules in gases, liquids and solids, and ultimately the assembly of macromolecules as in polymers and DNA. Relationships between chemistry and other fundamental sciences such as biology and physics are emphasized, as are the relationships between the science of chemistry to its applications in environmental science, atmospheric chemistry and electronic devices.&nbsp;</p>
<p><a href=""pages/syllabus""><img src=""/images/button_start.png"" alt=""Click to get started.""></a></p>
<h3 id=""acknowledgements"">Acknowledgements</h3>
<p>Professor Drennan would like to acknowledge the contributions of MIT Lecturer Dr. Elizabeth Vogel Taylor, Professor Sylvia Ceyer, and Professor Robert Silbey to the development of this course and its materials.</p>
",https://ocw.mit.edu/courses/5-111sc-principles-of-chemical-science-fall-2014/,"['Science', 'Chemistry', 'Inorganic Chemistry', 'Organic Chemistry', 'Physical Chemistry']",0,28
Principles of Chemical Science,"5.112 is an introductory chemistry course for students with an unusually strong background in chemistry. Knowledge of calculus equivalent to MIT course 18.01 is recommended. Emphasis is on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis. The course also covers applications of basic principles to problems in metal coordination chemistry, organic chemistry, and biological chemistry.",https://ocw.mit.edu/courses/5-112-principles-of-chemical-science-fall-2005/,"['Science', 'Chemistry']",35,29
Laboratory Chemistry,"<p>This course introduces experimental chemistry for students who are not majoring in chemistry. The course covers principles and applications of chemical laboratory techniques, including preparation and analysis of chemical materials, measurement of pH, gas and liquid chromatography, visible-ultraviolet spectrophotometry, infrared spectroscopy, nuclear magnetic resonance, mass spectrometry, polarimetry, X-ray diffraction, kinetics, data analysis, and organic synthesis.</p>
<h3 id=""acknowledgements"">Acknowledgements</h3>
<p>Dr. Dolhun and Dr. Hewett would like to acknowledge the contributions of past instructors over the years to the development of this course and its materials.</p>
<p><strong>WARNING NOTICE</strong></p>
<p>The experiments described in these materials are potentially hazardous and require a high level of safety training, special facilities and equipment, and supervision by appropriate individuals. You bear the sole responsibility, liability, and risk for the implementation of such safety procedures and measures. MIT shall have no responsibility, liability, or risk for the content or implementation of any of the material presented.</p>
<p><a href=""/terms/"">Legal Notice</a></p>
",https://ocw.mit.edu/courses/5-310-laboratory-chemistry-fall-2019/,"['Science', 'Chemistry']",14,30
Thermodynamics & Kinetics,"<p>This subject deals primarily with equilibrium properties of macroscopic systems, basic thermodynamics, chemical equilibrium of reactions in gas and solution phase, and rates of chemical reactions.</p>
<h5 id=""acknowledgements"">Acknowledgements</h5>
<p>The material for 5.60 has evolved over a period of many years, and therefore several faculty members have contributed to the development of the course contents. The following are known to have assisted in preparing the lecture notes available on OpenCourseWare: Emeritus Professors of Chemistry: Robert A. Alberty, Carl W. Garland, Irwin Oppenheim, John S. Waugh. Professors of Chemistry: Moungi Bawendi, John M. Deutch, Robert W. Field, Robert G. Griffin, Keith A. Nelson, Robert J. Silbey, Jeffrey I. Steinfeld. Professor of Bioengineering and Computer Science: Bruce Tidor. Professor of Chemistry, Rice University: James L. Kinsey. Professor of Physics, University of Illinois: Philip W. Phillips.</p>
",https://ocw.mit.edu/courses/5-60-thermodynamics-kinetics-spring-2008/,"['Science', 'Chemistry', 'Physical Chemistry', 'Physics', 'Classical Mechanics', 'Thermodynamics']",36,31
Physical Chemistry,"This course is an introduction to quantum mechanics for <em>use</em> by chemists. Topics include particles and waves, wave mechanics, semi-classical quantum mechanics, matrix mechanics, perturbation theory, molecular orbital theory, molecular structure, molecular spectroscopy, and photochemistry. Emphasis is on creating and building confidence in the use of intuitive pictures.",https://ocw.mit.edu/courses/5-61-physical-chemistry-fall-2017/,"['Science', 'Chemistry', 'Physical Chemistry']",36,32
Introductory Quantum Mechanics II,"This course covers topics in time-dependent quantum mechanics, spectroscopy, and relaxation, with an emphasis on descriptions applicable to condensed phase problems and a statistical description of ensembles.",https://ocw.mit.edu/courses/5-74-introductory-quantum-mechanics-ii-spring-2009/,"['Health and Medicine', 'Spectroscopy', 'Science', 'Physics', 'Quantum Mechanics']",4,33
Introductory Quantum Mechanics II,"This course covers time-dependent quantum mechanics and spectroscopy. Topics include perturbation theory, two-level systems, light-matter interactions, relaxation in quantum systems, correlation functions and linear response theory, and nonlinear spectroscopy.",https://ocw.mit.edu/courses/5-74-introductory-quantum-mechanics-ii-spring-2004/,"['Health and Medicine', 'Spectroscopy', 'Science', 'Physics', 'Quantum Mechanics']",0,34
Small-Molecule Spectroscopy and Dynamics,"The goal of this course is to illustrate the spectroscopy of small molecules in the gas phase: quantum mechanical effective Hamiltonian models for rotational, vibrational, and electronic structure; transition selection rules and relative intensities; diagnostic patterns and experimental methods for the assignment of non-textbook spectra; breakdown of the Born-Oppenheimer approximation (spectroscopic perturbations); the stationary phase approximation; nondegenerate and quasidegenerate perturbation theory (van Vleck transformation); qualitative molecular orbital theory (Walsh diagrams); the notation of atomic and molecular spectroscopy.",https://ocw.mit.edu/courses/5-80-small-molecule-spectroscopy-and-dynamics-fall-2008/,"['Health and Medicine', 'Spectroscopy', 'Science', 'Chemistry', 'Physical Chemistry', 'Physics', 'Quantum Mechanics']",38,35
Teaching College-Level Science and Engineering,"This participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. This course is designed for graduate students interested in an academic career, and anyone else interested in teaching. Readings and discussions include: teaching equations for understanding, designing exam and homework questions, incorporating histories of science, creating absorbing lectures, teaching for transfer, the evils of PowerPoint, and planning a course. The subject is appropriate for both novices and those with teaching experience.",https://ocw.mit.edu/courses/5-95j-teaching-college-level-science-and-engineering-spring-2009/,"['Engineering', 'Science', 'Teaching and Education', 'Curriculum and Teaching', 'Higher Education']",0,36
Teaching College-Level Science and Engineering,"This participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. It is designed for graduate students interested in an academic career, and anyone else interested in teaching. Students research and present a relevant topic of particular interest. The subject is appropriate for both novices and those with teaching experience.",https://ocw.mit.edu/courses/5-95j-teaching-college-level-science-and-engineering-fall-2015/,"['Engineering', 'Teaching and Education', 'Curriculum and Teaching', 'Education Policy', 'Educational Technology', 'Higher Education']",0,37
Introduction to Computer Science and Programming in Python,"<em>6.0001 Introduction to Computer Science and Programming in Python</em> is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.",https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Programming Languages']",12,38
Introduction to Computational Thinking and Data Science,"6.0002 is the continuation of <em><a href=""/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/"">6.0001 Introduction to Computer Science and Programming in Python</a></em> and is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.",https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/,"['Engineering', 'Computer Science', 'Mathematics', 'Probability and Statistics']",15,39
Structure and Interpretation of Computer Programs,"This course introduces students to the principles of computation. Upon completion of 6.001, students should be able to explain and apply the basic methods from programming languages to analyze computational systems, and to generate computational solutions to abstract problems. Substantial weekly programming assignments are an integral part of the course. This course is worth 4 Engineering Design Points.",https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,"['Engineering', 'Computer Science', 'Theory of Computation', 'Mathematics', 'Computation']",20,40
