title,description,course_url,topics,available_videos,id,view_count,popularity_score
Atomistic Computer Modeling of Materials (SMA 5107),"<p>This course uses the theory and application of atomistic computer simulations to model, understand, and predict the properties of real materials. Specific topics include: energy models from classical potentials to first-principles approaches; density functional theory and the total-energy pseudopotential method; errors and accuracy of quantitative predictions: thermodynamic ensembles, Monte Carlo sampling and molecular dynamics simulations; free energy and phase transitions; fluctuations and transport properties; and coarse-graining approaches and mesoscale models. The course employs case studies from industrial applications of advanced materials to nanotechnology. Several laboratories will give students direct experience with simulations of classical force fields, electronic-structure approaches, molecular dynamics, and Monte Carlo.</p>
<p>This course was also taught as part of the <a href=""http://web.mit.edu/sma/"" target=""_blank"" rel=""noopener"">Singapore-MIT Alliance</a> (SMA) programme as course number SMA 5107 (Atomistic Computer Modeling of Materials).</p>
<h2 id=""acknowledgements"">Acknowledgements</h2>
<p>Support for this course has come from the <a href=""http://www.nsf.gov/div/index.jsp?div=DMR"" target=""_blank"" rel=""noopener"">National Science Foundation’s Division of Materials Research</a> (grant DMR-0304019) and from the <a href=""http://web.mit.edu/sma/"" target=""_blank"" rel=""noopener"">Singapore-MIT Alliance</a>.</p>
",https://ocw.mit.edu/courses/3-320-atomistic-computer-modeling-of-materials-sma-5107-spring-2005/,"['Engineering', 'Materials Science and Engineering', 'Nanotechnology', 'Systems Engineering', 'Computational Modeling and Simulation', 'Science', 'Physics', 'Atomic, Molecular, Optical Physics', 'Quantum Mechanics']",19,17,152160,0.22807017543859648
"Symmetry, Structure, and Tensor Properties of Materials","This course covers the derivation of symmetry theory; lattices, point groups, space groups, and their properties; use of symmetry in tensor representation of crystal properties, including anisotropy and representation surfaces; and applications to piezoelectricity and elasticity.",https://ocw.mit.edu/courses/3-60-symmetry-structure-and-tensor-properties-of-materials-fall-2005/,"['Engineering', 'Materials Science and Engineering', 'Mechanical Engineering', 'Solid Mechanics']",43,18,452833,0.5087719298245614
Theory of City Form,"This course covers theories about the form that settlements should take and attempts a distinction between descriptive and normative theory by examining examples of various theories of city form over time. Case studies will highlight the origins of the modern city and theories about its emerging form, including the transformation of the nineteenth-century city and its organization. Through examples and historical context, current issues of city form in relation to city-making, social structure, and physical design will also be discussed and analyzed.",https://ocw.mit.edu/courses/4-241j-theory-of-city-form-spring-2013/,"['Fine Arts', 'Architecture', 'Architectural Design', 'Social Science', 'Sociology', 'Community Development', 'Urban Studies']",26,20,138262,0.20175438596491227
Principles of Chemical Science,"<p>This course provides an introduction to the chemistry of biological, inorganic, and organic molecules.&nbsp;The&nbsp;emphasis is&nbsp;on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis.</p>
<p>In an effort to illuminate connections between chemistry and biology, a list of the biology-, medicine-, and MIT research-related examples used in 5.111 is provided in <a href=""/courses/5-111-principles-of-chemical-science-fall-2008/pages/biology-related-examples"">Biology-Related Examples</a>.</p>
<h5 id=""acknowledgements"">Acknowledgements</h5>
<p>Development and implementation of the biology-related materials in this course were funded through an HHMI Professors grant to Prof. Catherine L. Drennan. Videos and captioning were made possible and supported by the MIT Class of 2009.</p>
",https://ocw.mit.edu/courses/5-111-principles-of-chemical-science-fall-2008/,"['Science', 'Chemistry']",36,27,2788361,0.8157894736842105
Principles of Chemical Science,"5.112 is an introductory chemistry course for students with an unusually strong background in chemistry. Knowledge of calculus equivalent to MIT course 18.01 is recommended. Emphasis is on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis. The course also covers applications of basic principles to problems in metal coordination chemistry, organic chemistry, and biological chemistry.",https://ocw.mit.edu/courses/5-112-principles-of-chemical-science-fall-2005/,"['Science', 'Chemistry']",35,29,777534,0.6228070175438597
Laboratory Chemistry,"<p>This course introduces experimental chemistry for students who are not majoring in chemistry. The course covers principles and applications of chemical laboratory techniques, including preparation and analysis of chemical materials, measurement of pH, gas and liquid chromatography, visible-ultraviolet spectrophotometry, infrared spectroscopy, nuclear magnetic resonance, mass spectrometry, polarimetry, X-ray diffraction, kinetics, data analysis, and organic synthesis.</p>
<h3 id=""acknowledgements"">Acknowledgements</h3>
<p>Dr. Dolhun and Dr. Hewett would like to acknowledge the contributions of past instructors over the years to the development of this course and its materials.</p>
<p><strong>WARNING NOTICE</strong></p>
<p>The experiments described in these materials are potentially hazardous and require a high level of safety training, special facilities and equipment, and supervision by appropriate individuals. You bear the sole responsibility, liability, and risk for the implementation of such safety procedures and measures. MIT shall have no responsibility, liability, or risk for the content or implementation of any of the material presented.</p>
<p><a href=""/terms/"">Legal Notice</a></p>
",https://ocw.mit.edu/courses/5-310-laboratory-chemistry-fall-2019/,"['Science', 'Chemistry']",14,30,102915,0.17543859649122806
Thermodynamics & Kinetics,"<p>This subject deals primarily with equilibrium properties of macroscopic systems, basic thermodynamics, chemical equilibrium of reactions in gas and solution phase, and rates of chemical reactions.</p>
<h5 id=""acknowledgements"">Acknowledgements</h5>
<p>The material for 5.60 has evolved over a period of many years, and therefore several faculty members have contributed to the development of the course contents. The following are known to have assisted in preparing the lecture notes available on OpenCourseWare: Emeritus Professors of Chemistry: Robert A. Alberty, Carl W. Garland, Irwin Oppenheim, John S. Waugh. Professors of Chemistry: Moungi Bawendi, John M. Deutch, Robert W. Field, Robert G. Griffin, Keith A. Nelson, Robert J. Silbey, Jeffrey I. Steinfeld. Professor of Bioengineering and Computer Science: Bruce Tidor. Professor of Chemistry, Rice University: James L. Kinsey. Professor of Physics, University of Illinois: Philip W. Phillips.</p>
",https://ocw.mit.edu/courses/5-60-thermodynamics-kinetics-spring-2008/,"['Science', 'Chemistry', 'Physical Chemistry', 'Physics', 'Classical Mechanics', 'Thermodynamics']",36,31,4135453,0.8771929824561403
Physical Chemistry,"This course is an introduction to quantum mechanics for <em>use</em> by chemists. Topics include particles and waves, wave mechanics, semi-classical quantum mechanics, matrix mechanics, perturbation theory, molecular orbital theory, molecular structure, molecular spectroscopy, and photochemistry. Emphasis is on creating and building confidence in the use of intuitive pictures.",https://ocw.mit.edu/courses/5-61-physical-chemistry-fall-2017/,"['Science', 'Chemistry', 'Physical Chemistry']",36,32,379704,0.47368421052631576
Introductory Quantum Mechanics II,"This course covers topics in time-dependent quantum mechanics, spectroscopy, and relaxation, with an emphasis on descriptions applicable to condensed phase problems and a statistical description of ensembles.",https://ocw.mit.edu/courses/5-74-introductory-quantum-mechanics-ii-spring-2009/,"['Health and Medicine', 'Spectroscopy', 'Science', 'Physics', 'Quantum Mechanics']",4,33,30432,0.043859649122807015
Small-Molecule Spectroscopy and Dynamics,"The goal of this course is to illustrate the spectroscopy of small molecules in the gas phase: quantum mechanical effective Hamiltonian models for rotational, vibrational, and electronic structure; transition selection rules and relative intensities; diagnostic patterns and experimental methods for the assignment of non-textbook spectra; breakdown of the Born-Oppenheimer approximation (spectroscopic perturbations); the stationary phase approximation; nondegenerate and quasidegenerate perturbation theory (van Vleck transformation); qualitative molecular orbital theory (Walsh diagrams); the notation of atomic and molecular spectroscopy.",https://ocw.mit.edu/courses/5-80-small-molecule-spectroscopy-and-dynamics-fall-2008/,"['Health and Medicine', 'Spectroscopy', 'Science', 'Chemistry', 'Physical Chemistry', 'Physics', 'Quantum Mechanics']",38,35,91839,0.14035087719298245
Introduction to Computer Science and Programming in Python,"<em>6.0001 Introduction to Computer Science and Programming in Python</em> is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.",https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Programming Languages']",12,38,4214441,0.8859649122807017
Introduction to Computational Thinking and Data Science,"6.0002 is the continuation of <em><a href=""/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/"">6.0001 Introduction to Computer Science and Programming in Python</a></em> and is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.",https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/,"['Engineering', 'Computer Science', 'Mathematics', 'Probability and Statistics']",15,39,5257056,0.8947368421052632
Structure and Interpretation of Computer Programs,"This course introduces students to the principles of computation. Upon completion of 6.001, students should be able to explain and apply the basic methods from programming languages to analyze computational systems, and to generate computational solutions to abstract problems. Substantial weekly programming assignments are an integral part of the course. This course is worth 4 Engineering Design Points.",https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,"['Engineering', 'Computer Science', 'Theory of Computation', 'Mathematics', 'Computation']",20,40,468076,0.5175438596491229
Circuits and Electronics,"<p>6.002 is designed to serve as a first course in an undergraduate electrical engineering (EE), or electrical engineering and computer science (EECS) curriculum. At MIT, 6.002 is in the core of department subjects required for all undergraduates in EECS.</p>
<p>The course introduces the fundamentals of the lumped circuit abstraction. Topics covered include: resistive elements and networks; independent and dependent sources; switches and MOS transistors; digital abstraction; amplifiers; energy storage elements; dynamics of first- and second-order networks; design in the time and frequency domains; and analog and digital circuits and applications. Design and lab exercises are also significant components of the course. 6.002 is worth 4 Engineering Design Points. The 6.002 content was created collaboratively by Profs. Anant Agarwal and Jeffrey H. Lang.</p>
<p>The course uses the required textbook <em>Foundations of Analog and Digital Electronic Circuits</em>. Agarwal, Anant, and Jeffrey H. Lang. San Mateo, CA: Morgan Kaufmann Publishers, Elsevier, July 2005. ISBN: 9781558607354.</p>
",https://ocw.mit.edu/courses/6-002-circuits-and-electronics-spring-2007/,"['Engineering', 'Electrical Engineering', 'Electronics']",26,41,3524749,0.8508771929824561
Signals and Systems,"6.003 covers the fundamentals of signal and system analysis, focusing on representations of discrete-time and continuous-time signals (singularity functions, complex exponentials and geometrics, Fourier representations, Laplace and Z transforms, sampling) and representations of linear, time-invariant systems (difference and differential equations, block diagrams, system functions, poles and zeros, convolution, impulse and step responses, frequency responses). Applications are drawn broadly from engineering and physics, including feedback and control, communications, and signal processing.",https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Signal Processing']",25,42,1479000,0.7105263157894737
Introduction to Algorithms,"This course is an introduction to mathematical modeling of computational problems, as well as common algorithms, algorithmic paradigms, and data structures used to solve these problems. It emphasizes the relationship between algorithms and programming and introduces basic performance measures and analysis techniques for these problems.",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Theory of Computation', 'Mathematics', 'Computation']",32,44,2334848,0.7894736842105263
Introduction to Algorithms,"This course provides an introduction to mathematical modeling of computational problems. It covers the common algorithms, algorithmic paradigms, and data structures used to solve these problems. The course emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems.",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-fall-2011/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures']",24,45,16494339,0.9912280701754386
Introduction to EECS II: Digital Communication Systems,"<p>An introduction to several fundamental ideas in electrical engineering and computer science, using digital communication systems as the vehicle. The three parts of the course—bits, signals, and packets—cover three corresponding layers of abstraction that form the basis of communication systems like the Internet.</p>
<p>The course teaches ideas that are useful in other parts of EECS: abstraction, probabilistic analysis, superposition, time and frequency-domain representations, system design principles and trade-offs, and centralized and distributed algorithms. The course emphasizes connections between theoretical concepts and practice using programming tasks and some experiments with real-world communication channels.</p>
",https://ocw.mit.edu/courses/6-02-introduction-to-eecs-ii-digital-communication-systems-fall-2012/,"['Engineering', 'Computer Science', 'Computer Networks', 'Electrical Engineering', 'Digital Systems', 'Signal Processing', 'Telecommunications']",24,47,282078,0.37719298245614036
Artificial Intelligence,"This course introduces students to the basic knowledge representation, problem solving, and learning methods of artificial intelligence. Upon completion of 6.034, students should be able to develop intelligent systems by assembling solutions to concrete computational problems; understand the role of knowledge representation, problem solving, and learning in intelligent-system engineering; and appreciate the role of problem solving, vision, and language in understanding human intelligence from a computational perspective.",https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Artificial Intelligence', 'Theory of Computation']",23,48,7720934,0.9385964912280702
Probabilistic Systems Analysis and Applied Probability,"<p>Welcome to 6.041/6.431, a subject on the modeling and analysis of random phenomena and processes, including the basics of statistical inference. Nowadays, there is broad consensus that the ability to think probabilistically is a fundamental component of scientific literacy. For example:</p>
<ul>
<li>The concept of statistical significance (to be touched upon at the end of this course) is considered by the Financial Times as one of “The Ten Things Everyone Should Know About Science”.</li>
<li>A <a href=""http://www.scientificamerican.com/article.cfm?id=knowing-your-chances"" target=""_blank"" rel=""noopener"">recent Scientific American article</a> argues that statistical literacy is crucial in making health-related decisions.</li>
<li>Finally, an <a href=""http://www.nytimes.com/2009/08/06/technology/06stats.html"" target=""_blank"" rel=""noopener"">article in the New York Times</a> identifies statistical data analysis as an upcoming profession, valuable everywhere, from Google and Netflix to the Office of Management and Budget.</li>
</ul>
<p>The aim of this class is to introduce the relevant models, skills, and tools, by combining mathematics with conceptual understanding and intuition.</p>
",https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/,"['Engineering', 'Systems Engineering', 'Mathematics', 'Discrete Mathematics', 'Probability and Statistics']",25,50,4129972,0.868421052631579
Mathematics for Computer Science,"This course covers elementary discrete mathematics for computer science and engineering. It emphasizes mathematical definitions and proofs as well as applicable methods. Topics include formal logic notation, proof methods; induction, well-ordering; sets, relations; elementary graph theory; integer congruences; asymptotic notation and growth of functions; permutations and combinations, counting principles; discrete probability. Further selected topics may also be covered, such as recursive definition and structural induction; state machines and invariants; recurrences; generating functions.",https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2010/,"['Engineering', 'Computer Science', 'Mathematics', 'Applied Mathematics', 'Discrete Mathematics', 'Probability and Statistics']",25,53,5581293,0.9210526315789473
Introduction to Algorithms (SMA 5503),"<p>This course teaches techniques for the design and analysis of efficient algorithms, emphasizing methods useful in practice. Topics covered include: sorting; search trees, heaps, and hashing; divide-and-conquer; dynamic programming; amortized analysis; graph algorithms; shortest paths; network flow; computational geometry; number-theoretic algorithms; polynomial and matrix calculations; caching; and parallel computing.</p>
<p>This course was also taught as part of the <a href=""http://web.mit.edu/sma/"" target=""_blank"" rel=""noopener"">Singapore-MIT Alliance</a> (SMA) programme as course number SMA 5503 (Analysis and Design of Algorithms).</p>
",https://ocw.mit.edu/courses/6-046j-introduction-to-algorithms-sma-5503-fall-2005/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures']",23,54,3473453,0.8421052631578947
Design and Analysis of Algorithms,"This is an intermediate algorithms course with an emphasis on teaching techniques for the design and analysis of efficient algorithms, emphasizing methods of application. Topics include divide-and-conquer, randomization, dynamic programming, greedy algorithms, incremental improvement, complexity, and cryptography.",https://ocw.mit.edu/courses/6-046j-design-and-analysis-of-algorithms-spring-2015/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Computer Networks', 'Cryptography', 'Mathematics', 'Applied Mathematics']",24,55,2895589,0.8245614035087719
Performance Engineering of Software Systems,"6.172 is an 18-unit class that provides a hands-on, project-based introduction to building scalable and high-performance software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, caching optimizations, parallel programming, and building scalable systems. The course programming language is C.",https://ocw.mit.edu/courses/6-172-performance-engineering-of-software-systems-fall-2018/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Software Design and Engineering', 'Systems Engineering', 'Systems Optimization']",23,56,1523453,0.7280701754385965
Discrete Stochastic Processes,"Discrete stochastic processes are essentially probabilistic systems that evolve in time via random changes occurring at discrete fixed or random intervals. This course aims to help students acquire both the mathematical principles and the intuition necessary to create, analyze, and understand insightful models for a broad range of these processes. The range of areas for which discrete stochastic-process models are useful is constantly expanding, and includes many applications in engineering, physics, biology, operations research and finance.",https://ocw.mit.edu/courses/6-262-discrete-stochastic-processes-spring-2011/,"['Mathematics', 'Discrete Mathematics', 'Probability and Statistics']",25,58,695208,0.5614035087719298
The Battlecode Programming Competition,"<p>This course is conducted as an artificial intelligence programming contest in Java. Students work in teams to program virtual robots to play Battlecode, a real-time strategy game. Optional lectures are provided on topics and programming practices relevant to the game, and students learn and improve their programming skills experientially. The competition culminates in a live Battlecode tournament.</p>
<p>This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.</p>
",https://ocw.mit.edu/courses/6-370-the-battlecode-programming-competition-january-iap-2013/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Programming Languages', 'Fine Arts', 'Game Design']",8,59,93358,0.14912280701754385
Principles of Digital Communications I,"<p>The course serves as an introduction to the theory and practice behind many of today’s communications systems. 6.450 forms the first of a two-course sequence on digital communication. The second class, 6.451, is offered in the spring.</p>
<p>Topics covered include: digital communications at the block diagram level, data compression, Lempel-Ziv algorithm, scalar and vector quantization, sampling and aliasing, the Nyquist criterion, PAM and QAM modulation, signal constellations, finite-energy waveform spaces, detection, and modeling and system design for wireless communication.</p>
",https://ocw.mit.edu/courses/6-450-principles-of-digital-communications-i-fall-2006/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Telecommunications']",24,61,839744,0.6403508771929824
Principles of Digital Communication II,"<p>This course is the second of a two-term sequence with 6.450. The focus is on coding techniques for approaching the Shannon limit of additive white Gaussian noise (AWGN) channels, their performance analysis, and design principles. After a review of 6.450 and the Shannon limit for AWGN channels, the course begins by discussing small signal constellations, performance analysis and coding gain, and hard-decision and soft-decision decoding. It continues with binary linear block codes, Reed-Muller codes, finite fields, Reed-Solomon and BCH codes, binary linear convolutional codes, and the Viterbi algorithm.</p>
<p>More advanced topics include trellis representations of binary linear block codes and trellis-based decoding; codes on graphs; the sum-product and min-sum algorithms; the BCJR algorithm; turbo codes, LDPC codes and RA codes; and performance of LDPC codes with iterative decoding. Finally, the course addresses coding for the bandwidth-limited regime, including lattice codes, trellis-coded modulation, multilevel coding and shaping. If time permits, it covers equalization of linear Gaussian channels.</p>
",https://ocw.mit.edu/courses/6-451-principles-of-digital-communication-ii-spring-2005/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Telecommunications']",25,62,307448,0.42105263157894735
Underactuated Robotics,"<p>Robots today move far too conservatively, using control systems that attempt to maintain full control authority at all times. Humans and animals move much more aggressively by routinely executing motions which involve a loss of instantaneous control authority. Controlling nonlinear systems without complete control authority requires methods that can reason about and exploit the natural dynamics of our machines.</p>
<p>This course discusses nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on machine learning methods. Topics include nonlinear dynamics of passive robots (walkers, swimmers, flyers), motion planning, partial feedback linearization, energy-shaping control, analytical optimal control, reinforcement learning/approximate optimal control, and the influence of mechanical design on control. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.</p>
<p>Professor Tedrake offered an updated version of this course that <a href=""https://www.edx.org/course/underactuated-robotics-mitx-6-832x-0?utm_source=OCW&amp;utm_medium=6-832CHP&amp;utm_campaign=OCW"" target=""_blank"" rel=""noopener"">can be accessed through the edX platform</a>.</p>
<h5 id=""acknowledgements"">Acknowledgements</h5>
<p>Professor Tedrake would like to thank John Roberts for his help with the course and videotaping the lectures.</p>
",https://ocw.mit.edu/courses/6-832-underactuated-robotics-spring-2009/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Electrical Engineering', 'Robotics and Control Systems']",23,63,275131,0.3684210526315789
Advanced Data Structures,"<p>Data structures play a central role in modern computer science. You interact with data structures even more often than with algorithms (think Google, your mail server, and even your network routers). In addition, data structures are essential building blocks in obtaining efficient algorithms. This course covers major results and current directions of research in data structure.</p>
<h2 id=""acknowledgments"">Acknowledgments</h2>
<p>Thanks to videographers Martin Demaine and Justin Zhang.</p>
",https://ocw.mit.edu/courses/6-851-advanced-data-structures-spring-2012/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures']",22,66,707273,0.5701754385964912
Computer Systems Security,"6.858 Computer Systems Security is a class about the design and implementation of secure computer systems. Lectures cover threat models, attacks that compromise security, and techniques for achieving security, based on recent research papers. Topics include operating system (OS) security, capabilities, information flow control, language security, network protocols, hardware security, and security in web applications.",https://ocw.mit.edu/courses/6-858-computer-systems-security-fall-2014/,"['Engineering', 'Computer Science', 'Computer Design and Engineering', 'Software Design and Engineering']",22,67,1915822,0.7631578947368421
